,,,,,,,,,,,,,,,,,,,,,,
Date,FlightNumber,From,To,Departure,Arrival,Duration,Airline,Aircraft,Registration,Seat,Seat type,Class,Reason,IsInternational,DepID,ArrID,AirlineID,AircraftID,TicketPrice,DepartureTraffic,ArrivalTraffic,GoArounds
2018-07-22,TK1981,Istanbul / Ataturk (ISL/LTBA),London / Gatwick (LGW/EGKK),07:25:00,09:35:00,04:10:00,Turkish Airlines (TK/THY),Airbus A321LR (A21N),TC-JTL,,2,1,1,1,1284,1614,769,2181,,,,
2018-08-05,TK1972,London / Heathrow (LHR/EGLL),Istanbul / Ataturk (ISL/LTBA),18:25:00,00:20:00,03:55:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),TC-LJA,,3,1,1,1,1618,1284,769,2023,,,,
2018-08-06,TK2252,Istanbul / Ataturk (ISL/LTBA),Antakya / Hatay (HTY/LTDA),10:00:00,11:45:00,01:45:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JGG,,1,1,1,0,1284,4623,769,231,,,,
2018-07-21,TK2257,Antakya / Hatay (HTY/LTDA),Istanbul / Ataturk (ISL/LTBA),05:10:00,06:50:00,01:40:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JSF,,3,1,1,0,4623,1284,769,231,,,,
2016-05-18,PC1021,Istanbul / Sabiha Gokcen (SAW/LTFJ),Munich / Franz Josef Strauss (MUC/EDDM),12:25:00,13:10:00,01:45:00,Pegasus Airlines (PC/PGT),Airbus A320neo (A20N),,,1,1,1,1,3659,1952,1014,2127,,,,
2016-05-18,PC2081,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),08:45:00,10:20:00,01:35:00,Pegasus Airlines (PC/PGT),Airbus A321-200 (A321),,,1,1,1,0,34,3659,1014,2076,,,,
2016-05-21,TK2466,Istanbul / Ataturk (ISL/LTBA),Adana / Sakirpasa (ADA/LTAF),16:45:00,18:25:00,01:50:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),,,1,1,1,0,1284,34,769,231,,,,
2014-05-02,TK2460,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),12:15:00,13:55:00,01:40:00,AnadoluJet (TK/AJA),Airbus A321-200 (A321),,,1,1,1,0,3659,34,1350,2076,,,,
2014-04-25,TK2481,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),12:40:00,14:30:00,01:50:00,AnadoluJet (TK/AJA),Boeing 737-800 (B738),,,1,1,1,0,34,3659,1350,231,,,,
2022-11-25,TK2253,Antakya / Hatay (HTY/LTDA),Istanbul / Istanbul Airport (IST/LTFM),04:00:00,05:55:00,01:55:00,Turkish Airlines (TK/THY),Boeing 737-700 (B737),TC-JHV,,1,1,1,0,4623,8949,769,230,,,,
2022-11-25,PC2134,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),19:30:00,21:10:00,01:40:00,Pegasus Airlines (PC/PGT),Airbus A320neo (A20N),TC-DGC,,3,1,1,0,3659,4623,1014,2127,,,,
2017-05-04,XQ9007,Adana / Sakirpasa (ADA/LTAF),Izmir / Adnan Menderes (ADB/LTBJ),08:40:00,10:10:00,01:30:00,SunExpress (XQ/SXS),Boeing 737-800 (B738),,,2,1,1,0,34,36,746,231,,,,
2017-05-07,XQ9306,Izmir / Adnan Menderes (ADB/LTBJ),Adana / Sakirpasa (ADA/LTAF),20:40:00,22:05:00,01:25:00,SunExpress (XQ/SXS),Boeing 737-800 (B738),,,1,1,1,0,36,34,746,231,,,,
2023-08-02,PC1854,Adana / Sakirpasa (ADA/LTAF),Ercan / Ercan (ECN/LCEN),15:40:00,16:30:00,00:50:00,Pegasus Airlines (PC/PGT),Airbus A320neo (A20N),TC-NBN,,1,1,4,1,34,3646,1014,2127,600,0,0,0
2023-08-05,PC1853,Ercan / Ercan (ECN/LCEN),Adana / Sakirpasa (ADA/LTAF),14:20:00,15:05:00,00:45:00,Pegasus Airlines (PC/PGT),Airbus A320-200 (A320),TC-DCL,,1,1,4,1,3646,34,1014,2059,600,2,1,0
2023-09-02,TK7261,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),09:15:00,10:45:00,01:30:00,AnadoluJet (TK/AJA),Boeing 737-700 (B737),TC-JZL,,3,1,1,0,34,3659,1350,230,750,2,4,0
2023-09-07,TK7260,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),07:10:00,08:35:00,01:25:00,AnadoluJet (TK/AJA),Boeing 737-700 (B737),TC-JZL,,1,1,1,0,3659,34,1350,230,750,3,0,0
2023-09-23,PC2081,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),08:05:00,09:35:00,01:30:00,Pegasus Airlines (PC/PGT),Airbus A321neo (A21N),TC-RBO,,1,4,1,0,34,3659,1014,2128,1800,1,3,0
2023-10-27,PC2094,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),18:30:00,20:00:00,01:30:00,Pegasus Airlines (PC/PGT),Airbus A321neo (A21N),TC-RBZ,,1,4,1,0,3659,34,1014,2128,1350,5,1,0
2023-10-29,PC2095,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),20:40:00,22:15:00,01:35:00,Pegasus Airlines (PC/PGT),Airbus A321neo (A21N),TC-RBR,,1,4,1,0,34,3659,1014,2128,1350,1,12,0
2016-05-21,TK1884,Vienna / Schwechat (VIE/LOWW),Istanbul / Ataturk (ISL/LTBA),10:45:00,14:05:00,02:20:00,Turkish Airlines (TK/THY),Boeing 737-700 (B737),,,1,1,1,1,3179,1284,769,230,,,,
2023-12-15,TK7262,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),20:25:00,21:55:00,01:30:00,AnadoluJet (TK/AJA),Boeing 737-800 (B738),TC-JZV,,1,4,1,0,3659,34,1350,231,1375,13,0,0
2023-12-17,TK7265,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),15:40:00,17:15:00,01:35:00,AnadoluJet (TK/AJA),Boeing 737 MAX 8 (B38M),TC-LAE,,1,4,1,0,34,3659,1350,2123,1375,1,4,0
2023-12-28,TK7266,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),19:15:00,20:45:00,01:30:00,AnadoluJet (TK/AJA),Boeing 737-800 (B738),TC-JGA,,1,4,1,0,3659,34,1350,231,1900,3,0,0
2024-01-01,TK7265,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),17:50:00,19:25:00,01:35:00,AnadoluJet (TK/AJA),Boeing 737-800 (B738),TC-JZU,,1,4,1,0,34,3659,1350,231,1900,2,24,1
2024-01-17,TK2464,Istanbul / Istanbul Airport (IST/LTFM),Adana / Sakirpasa (ADA/LTAF),17:30:00,19:05:00,01:35:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JMJ,,1,4,1,0,8949,34,769,28,1800,1,0,0
2024-02-12,TK7265,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),17:50:00,19:25:00,01:35:00,AnadoluJet (TK/AJA),Boeing 737 MAX 8 (B38M),TC-LAE,,1,4,1,0,34,3659,1350,2123,2200,2,5,0
2024-03-29,TK7262,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),20:25:00,21:55:00,01:30:00,AnadoluJet (TK/AJA),Boeing 737-800 (B738),TC-JGC,,1,4,1,0,3659,34,1350,231,1400,1,1,0
2024-03-31,VF3151,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),22:00:00,23:35:00,01:35:00,AJet Airlines (VF/TKJ),Airbus A321-200 (A321),,,1,4,1,0,34,3659,3126,2076,1400,2,5,0
2024-04-07,VF3306,Istanbul / Sabiha Gokcen (SAW/LTFJ),Samsun / Carsamba (SZF/LTFH),18:45:00,20:15:00,01:30:00,AJet Airlines (VF/TKJ),Airbus A321-200 (A321),9H-SLG,,1,4,1,0,3659,3660,3126,2076,1600,5,0,0
2024-04-14,VF3307,Samsun / Carsamba (SZF/LTFH),Istanbul / Sabiha Gokcen (SAW/LTFJ),21:25:00,23:00:00,01:35:00,AJet Airlines (VF/TKJ),Airbus A321-200 (A321),YL-LDQ,,2,4,1,0,3660,3659,3126,2076,1600,0,7,0
2024-05-14,VF3012,Istanbul / Sabiha Gokcen (SAW/LTFJ),Ankara / Esenboga (ESB/LTAC),19:45:00,20:55:00,01:10:00,AJet Airlines (VF/TKJ),Boeing 737-800 (B738),TC-JFC,,1,1,1,0,3659,833,3126,231,800,1,2,0
2024-05-15,PC2673,Ankara / Esenboga (ESB/LTAC),Istanbul / Sabiha Gokcen (SAW/LTFJ),22:35:00,23:40:00,01:05:00,Pegasus Airlines (PC/PGT),Airbus A320neo (A20N),TC-NBF,,1,1,1,0,833,3659,1014,2127,900,0,4,0
2024-06-03,TK2854,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),06:20:00,07:45:00,01:25:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JSG,,1,4,1,0,8949,2001,769,28,1200,1,0,0
2024-06-23,PC2099,Adana / Sakirpasa (ADA/LTAF),Istanbul / Sabiha Gokcen (SAW/LTFJ),05:45:00,07:20:00,01:35:00,Pegasus Airlines (PC/PGT),Airbus A321neo (A21N),TC-RDL,2F,1,1,1,0,34,3659,1014,2128,1500,2,10,0
2024-06-23,PC411,Istanbul / Sabiha Gokcen (SAW/LTFJ),Bratislava / MR Stefanik (BTS/LZIB),10:20:00,11:30:00,02:10:00,Pegasus Airlines (PC/PGT),Boeing 737-800 (B738),TC-AIS,8F,1,1,1,1,3659,424,1014,231,5000,7,0,0
2024-06-26,PC412,Bratislava / MR Stefanik (BTS/LZIB),Istanbul / Sabiha Gokcen (SAW/LTFJ),14:00:00,17:15:00,02:15:00,Pegasus Airlines (PC/PGT),Boeing 737-800 (B738),TC-AIS,8F,1,1,1,1,424,3659,1014,231,5000,1,9,0
2024-06-26,PC2096,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),20:15:00,21:45:00,01:30:00,Pegasus Airlines (PC/PGT),Airbus A321neo (A21N),TC-RDK,2F,1,1,1,0,3659,34,1014,2128,1500,11,0,0
2024-06-10,PC2094,Istanbul / Sabiha Gokcen (SAW/LTFJ),Adana / Sakirpasa (ADA/LTAF),18:30:00,20:00:00,01:30:00,Pegasus Airlines (PC/PGT),Airbus A320neo (A20N),TC-NBA,11F,1,1,1,0,3659,34,1014,2127,3300,0,3,0
2024-07-13,TK1861,Istanbul / Istanbul Airport (IST/LTFM),Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),08:15:00,09:50:00,02:35:00,Turkish Airlines (TK/THY),Airbus A330-300 (A333),TC-JOF,26F,2,1,1,1,8949,872,769,31,5000,2,4,0
2024-07-20,TK1870,Venice / Marco Polo (VCE/LIPZ),Istanbul / Istanbul Airport (IST/LTFM),20:10:00,23:40:00,02:30:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JTD,18D,3,1,1,1,3148,8949,769,28,5000,0,10,0
2024-07-12,TK2191,Ankara / Esenboga (ESB/LTAC),Istanbul / Istanbul Airport (IST/LTFM),03:10:00,04:25:00,01:15:00,Turkish Airlines (TK/THY),Airbus A320 (A320),TC-JPN,20A,1,1,1,0,833,8949,769,27,1200,0,5,0
2024-07-21,TK2254,Istanbul / Istanbul Airport (IST/LTFM),Antakya / Hatay (HTY/LTDA),06:40:00,08:30:00,01:50:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JVA,10F,1,1,1,0,8949,4623,769,231,2800,0,0,0
2024-08-17,SM3708,Ankara / Esenboga (ESB/LTAC),Sharm el Sheikh / Sharm el-Sheik Intl (SSH/HESH),19:15:00,20:15:00,02:00:00,Air Cairo (MC/MSC),Embraer ERJ-190 (E190),SU-BVH,10A,1,1,1,1,833,3630,1264,655,5800,1,0,0
2024-08-24,SM3707,Sharm el Sheikh / Sharm el-Sheik Intl (SSH/HESH),Ankara / Esenboga (ESB/LTAC),15:00:00,18:15:00,02:15:00,Air Cairo (MC/MSC),Embraer ERJ-190 (E190),SU-BVH,13F,1,1,1,1,3630,833,1264,655,5800,0,1,0
2024-08-20,SM180,Sharm el Sheikh / Sharm el-Sheik Intl (SSH/HESH),Cairo / Cairo (CAI/HECA),06:05:00,07:05:00,01:00:00,Air Cairo (SM/MSC),Airbus A320neo (A20N),SU-BUY,19F,1,1,1,0,3630,475,1776,2127,3000,0,3,0
2024-08-20,SM18,Cairo / Cairo (CAI/HECA),Sharm el Sheikh / Sharm el-Sheik Intl (SSH/HESH),21:30:00,22:30:00,01:00:00,Air Cairo (SM/MSC),Airbus A320 (A320),SU-BVP,21F,1,1,1,0,475,3630,1776,27,3000,0,1,0
2024-09-17,PC2083,Mersin / Mersin Cukurova International Airport (COV/LTDB),Istanbul / Sabiha Gokcen (SAW/LTFJ),10:10:00,12:45:00,02:35:00,Pegasus Airlines (PC/PGT),Airbus A321-200 (A321),TC-RBO,8A,1,1,1,0,10071,3659,1014,2076,3200,0,4,0
2024-10-25,VF3242,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),18:15:00,20:00:00,01:45:00,AJet Airlines (VF/TKJ),Airbus A321 (A321),9H-SLG,37C,3,1,1,0,3659,4623,3126,28,2900,,,
2024-10-29,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),19:20:00,21:10:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),9H-TAU,10F,1,4,1,0,4623,3659,3126,2123,2900,,,
2024-11-22,TK2858,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),17:45:00,19:15:00,01:30:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JHZ,9F,1,4,1,0,8949,2001,769,231,2200,,,
2024-12-06,TO3289,Istanbul / Istanbul Airport (IST/LTFM),Paris / Orly (ORY/LFPO),18:55:00,20:55:00,03:00:00,Transavia.com France (TO/TVF),Boeing 737-800 (B738),F-HUYH,10F,1,1,1,1,8949,2215,1397,231,4479.42,,,
2024-12-08,TO3288,Paris / Orly (ORY/LFPO),Istanbul / Istanbul Airport (IST/LTFM),14:10:00,19:50:00,04:40:00,Transavia.com France (TO/TVF),Boeing 737-800 (B738),F-GZHX,10F,1,1,1,1,2215,8949,1397,231,4479.42,,,
2025-01-13,TK1751,Istanbul / Istanbul Airport (IST/LTFM),Oslo / Gardermoen (OSL/ENGM),08:55:00,11:00:00,03:05:00,Turkish Airlines (TK/THY),Airbus A321neo (A21N),TC-LPK,9A,1,1,1,1,8949,2219,769,2128,7277.89,,,
2025-01-16,SK4416,Oslo / Gardermoen (OSL/ENGM),Tromso / Tromso (TOS/ENTC),09:35:00,11:35:00,02:00:00,Scandinavian Airlines (SK/SAS),Airbus A320neo (A20N),SE-ROE,30A,1,1,1,0,2219,2989,677,2127,4069,,,
2025-01-20,SK1491,Tromso / Tromso (TOS/ENTC),Stockholm / Arlanda (ARN/ESSA),10:45:00,12:50:00,02:05:00,Scandinavian Airlines (SK/SAS),Airbus A320neo (A20N),SE-ROA,21A,1,1,1,1,2989,3622,677,2127,2521.06,,,
2025-01-23,D82603,Stockholm / Arlanda (ARN/ESSA),Helsinki / Vantaa (HEL/EFHK),08:25:00,10:20:00,00:55:00,Norwegian Air International (D8/IBK),Boeing 737 MAX 8 (B38M),SE-RTF,10A,1,1,1,1,3622,1110,1644,2123,2005.27,,,
2025-01-26,TK1762,Helsinki / Vantaa (HEL/EFHK),Istanbul / Istanbul Airport (IST/LTFM),12:25:00,17:15:00,04:50:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JVI,25D,3,1,1,1,1110,8949,769,231,7277.88,,,
2025-01-26,TK2466,Istanbul / Istanbul Airport (IST/LTFM),Mersin / Mersin Cukurova International Airport (COV/LTDB),18:55:00,20:30:00,01:35:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-LTK,10F,1,1,1,0,8949,10071,769,28,2302,,,
2024-11-25,PC2781,Amasya / Merzifon (MZH/LTAP),Istanbul / Sabiha Gokcen (SAW/LTFJ),15:30:00,16:55:00,01:25:00,Pegasus Airlines (PC/PGT),Airbus A320neo (A20N),TC-NBN,10A,1,1,1,0,2001,3659,1014,2127,,,,
2024-12-29,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),21:15:00,23:05:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),9H-TAU,8F,1,1,1,0,4623,3659,3126,2123,,,,
2024-12-20,VF3242,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),17:45:00,19:25:00,01:40:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),9H-CHI,8F,1,1,1,0,3659,4623,3126,2123,,,,
2025-02-04,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),19:20:00,21:10:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737-800 (B738),TC-JFP,22F,1,1,1,0,4623,3659,3126,231,,,,
2025-03-28,TK2858,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),17:45:00,19:15:00,01:30:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JVR,7F,1,1,1,0,8949,2001,769,231,,,,
2025-04-06,TK2859,Amasya / Merzifon (MZH/LTAP),Istanbul / Istanbul Airport (IST/LTFM),19:25:00,21:00:00,01:35:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JSJ,3A,1,1,1,0,2001,8949,769,28,,,,
2025-04-25,TK2254,Istanbul / Istanbul Airport (IST/LTFM),Antakya / Hatay (HTY/LTDA),12:55:00,14:45:00,01:50:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JRT,02A,1,2,1,0,8949,4623,769,28,,,,
2025-04-27,TK2255,Antakya / Hatay (HTY/LTDA),Istanbul / Istanbul Airport (IST/LTFM),15:30:00,17:30:00,02:00:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JRS,10A,1,4,1,0,4623,8949,769,28,,,,
2025-05-16,VF3242,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),10:35:00,12:20:00,01:45:00,AJet Airlines (VF/TKJ),Airbus A321neo (A21N),TC-LUE,19F,1,1,1,0,3659,4623,3126,2128,,,,
2025-05-19,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),13:05:00,14:50:00,01:45:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),TC-LAG,27F,1,1,1,0,4623,3659,3126,2123,,,,
2025-06-02,TK2854,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),06:10:00,07:35:00,01:25:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JHZ,9F,1,4,1,0,8949,2001,769,231,4447.53,,,
2025-07-02,TK2455,Mersin / Mersin Cukurova International Airport (COV/LTDB),Istanbul / Istanbul Airport (IST/LTFM),08:35:00,10:25:00,01:14:00,Turkish Airlines (TK/THY),Boeing 737-900 (B739),TC-JYG,19F,1,1,1,0,10071,8949,769,232,2989.92,,,
2025-07-01,TK1079,Istanbul / Istanbul Airport (IST/LTFM),Belgrade / Nikola Tesla Beograd (BEG/LYBE),14:20:00,15:10:00,01:50:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JTG,24A,1,1,1,1,8949,261,769,28,4500,,,
2025-07-09,TK1080,Belgrade / Nikola Tesla Beograd (BEG/LYBE),Istanbul / Istanbul Airport (IST/LTFM),16:00:00,18:50:00,01:50:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JTO,24D,3,1,1,1,261,8949,769,28,4500,,,
2025-07-09,TK2476,Istanbul / Istanbul Airport (IST/LTFM),Mersin / Mersin Cukurova International Airport (COV/LTDB),23:55:00,00:35:00,01:40:00,Turkish Airlines (TK/THY),Airbus A321-200 (A321),TC-JMH,15F,1,1,1,0,8949,10071,769,2076,2639.92,,,
2025-09-27,TK2255,Antakya / Hatay (HTY/LTDA),Istanbul / Istanbul Airport (IST/LTFM),15:30:00,17:30:00,02:00:00,Turkish Airlines (TK/THY),Boeing 737 MAX 8 (B38M),TC-LCH,07F,1,4,1,0,4623,8949,769,2123,3315.60,,,
2025-10-24,VF3244,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),18:40:00,20:15:00,01:35:00,AJet Airlines (VF/TKJ),Airbus A321neo (A21N),TC-LTV,2F,1,4,1,0,3659,4623,3126,2128,3546.39,,,
2025-10-26,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),20:20:00,22:10:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),TC-LAK,2F,1,4,1,0,4623,3659,3126,2123,3546.39,,,
2025-11-28,TK2858,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),18:00:00,19:25:00,01:25:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JHP,3F,1,4,1,0,8949,2001,769,231,,,,